Date,u,v
03/01/2018 9:30,-1.01E-01,-1.64E-01
03/01/2018 10:00,-0.0361518,-0.0562693
03/01/2018 10:30,-0.0320507,-0.050496
03/01/2018 11:00,3.34E-02,5.35E-02
03/01/2018 11:30,0.0271366,0.0442419
03/01/2018 12:00,0.0675132,0.111291
03/01/2018 12:30,0.0444689,0.0722312
03/01/2018 13:00,0.0690042,0.113928
03/01/2018 13:30,0.0574866,0.0939064
03/01/2018 14:00,0.0574766,0.0936287
03/01/2018 14:30,0.0608963,0.0996096
03/01/2018 15:00,0.0583022,0.0949914
03/01/2018 15:30,0.0580514,0.09258
03/01/2018 16:00,1.10E-02,0.0169317
03/01/2018 16:30,0.0270042,0.0418728
03/01/2018 17:00,-1.79E-02,-0.0281517
03/01/2018 17:30,-0.0302064,-0.0485892
03/01/2018 18:00,-0.0676076,-0.107924
03/01/2018 18:30,-0.0407795,-0.0632354
03/01/2018 19:00,-0.0346404,-0.0541864
03/01/2018 19:30,-0.000117418,0.000970724
03/01/2018 20:00,0.0398591,0.0658596
03/01/2018 20:30,0.0746469,0.123419
03/01/2018 21:00,0.0892539,0.150246
03/01/2018 21:30,8.82E-02,1.45E-01
03/01/2018 22:00,0.103499,0.15971
03/01/2018 22:30,9.17E-02,1.39E-01
03/01/2018 23:00,0.0951474,0.133803
03/01/2018 23:30,0.0772635,0.116005
04/01/2018 0:00,0.080349,0.0906099
04/01/2018 0:30,0.059466,0.0796777
04/01/2018 1:00,0.0512141,6.90E-02
04/01/2018 1:30,0.0471765,0.0634192
04/01/2018 2:00,0.0312565,0.0369019
04/01/2018 2:30,0.0325309,0.0403954
04/01/2018 3:00,0.0122782,0.0203431
04/01/2018 3:30,0.00730485,0.00756404
04/01/2018 4:00,-0.059083,-0.0920232
04/01/2018 4:30,-0.0516288,-0.0791679
04/01/2018 5:00,-0.0996774,-0.160979
04/01/2018 5:30,-0.10763,-0.175218
04/01/2018 6:00,-0.148102,-0.24573
04/01/2018 6:30,-0.150238,-0.249991
04/01/2018 7:00,-0.174654,-0.292894
04/01/2018 7:30,-0.169306,-0.283974
04/01/2018 8:00,-1.64E-01,-0.274829
04/01/2018 8:30,-0.142034,-0.236705
04/01/2018 9:00,-0.111257,-0.183737
04/01/2018 9:30,-0.0736526,-0.119834
04/01/2018 10:00,0.0817332,0.133736
04/01/2018 10:30,0.0788886,0.132366
04/01/2018 11:00,0.0997323,0.168713
04/01/2018 11:30,0.0867811,0.146317
04/01/2018 12:00,0.112705,0.193294
