Hs,direction
0.205323,105.731
0.197783,104.668
0.190124,103.66
0.182536,102.779
0.175106,102.077
0.167846,101.584
0.160705,101.304
0.153613,101.213
0.146527,101.276
0.139454,101.451
0.132448,101.7
0.125597,101.997
0.118993,102.319
0.11272,102.653
0.106833,102.985
0.101363,103.304
0.0963281,103.607
0.0917281,103.889
0.087552,104.153
0.0837794,104.4
0.0803842,104.632
0.0773377,104.856
0.0746063,105.077
0.0721518,105.299
0.0699352,105.523
0.0679259,105.755
0.0661138,106.002
0.0645083,106.281
0.0631388,106.606
0.0623339,107.065
0.0628669,107.804
0.0657125,108.875
0.0703532,109.92
0.0764505,110.558
0.0846777,110.362
0.0956187,108.78
0.108761,105.564
0.122541,101.439
0.134943,97.8816
0.14427,95.6208
0.150031,94.4812
0.152911,94.1221
0.153992,94.3131
0.154174,94.891
0.154087,95.7317
0.154102,96.7262
0.154452,97.7936
0.15527,98.8804
0.156651,99.958
0.158654,101.012
0.161336,102.033
0.164742,103.012
0.168922,103.95
0.173285,104.678
0.17737,105.136
0.1811,105.385
0.184559,105.536
0.187697,105.646
0.190339,105.736
0.19245,105.859
0.193933,106.031
0.194636,106.226
0.194529,106.436
0.193692,106.65
0.192295,106.862
0.190454,107.057
0.188274,107.222
0.18586,107.36
0.183495,107.525
0.181425,107.762
0.17978,108.081
0.178738,108.451
0.178583,108.857
0.179646,109.287
0.181687,109.62
0.184305,109.771
0.187217,109.735
0.190006,109.528
0.192281,109.185
0.193795,108.748
0.194214,108.23
0.19343,107.653
0.191581,107.055
0.188704,106.467
0.184928,105.903
0.180485,105.379
0.175682,104.931
0.170709,104.575
0.165668,104.311
0.160639,104.125
0.155704,104.005
0.150939,103.942
0.146352,103.907
0.141948,103.882
0.137737,103.855
0.133724,103.822
0.129907,103.776
0.126282,103.713
0.122861,103.63
0.119665,103.528
0.11672,103.411
0.114053,103.285
0.111669,103.158
0.109553,103.039
0.107663,102.935
0.105943,102.851
0.104335,102.794
0.102824,102.779
0.101454,102.827
0.100289,102.956
0.0993663,103.172
0.0988101,103.491
0.0988277,103.925
0.0994862,104.446
0.100904,105.029
0.103338,105.653
0.107024,106.29
0.112307,106.904
0.119694,107.456
0.129968,107.891
0.144256,108.152
0.164307,108.195
0.192486,108.151
0.2257,108.182
0.252131,108.222
0.264002,108.018
0.264663,107.684
0.257639,107.489
0.246988,107.534
0.236003,107.72
0.226088,107.955
0.21777,108.231
0.211064,108.53
0.205747,108.828
0.201452,109.108
0.197841,109.357
0.194676,109.576
0.191215,109.621
0.186953,109.426
0.181832,109.027
0.1762,108.558
0.170324,108.087
0.164378,107.633
0.158582,107.198
0.153169,106.804
0.148328,106.466
0.144138,106.181
0.140609,105.938
0.13768,105.73
0.135214,105.55
0.133019,105.39
0.130889,105.241
0.128655,105.102
0.126202,104.971
0.123478,104.849
0.120499,104.74
0.117332,104.653
0.114062,104.595
0.110762,104.56
0.107523,104.546
0.104465,104.553
0.101675,104.583
0.0992292,104.633
0.0972486,104.685
0.0957887,104.725
0.0949037,104.745
0.0947157,104.725
0.0954195,104.648
0.0972465,104.495
0.100445,104.244
0.105165,103.89
0.111492,103.452
0.119477,102.991
0.129061,102.702
0.139879,102.78
0.151115,103.347
0.162091,104.296
0.172011,105.398
0.179765,106.412
0.184277,107.063
0.185124,107.275
0.182961,107.122
0.178609,106.756
0.172948,106.275
0.166784,105.745
0.160467,105.239
0.154114,104.799
0.147779,104.445
0.14143,104.194
0.135106,104.045
0.128911,103.993
0.122871,104.026
0.117133,104.149
0.111742,104.37
0.10667,104.679
0.101887,105.056
0.0973678,105.481
0.093088,105.931
0.0890229,106.384
0.0851492,106.822
0.0814471,107.231
0.0779022,107.603
0.074507,107.935
0.0712591,108.228
0.0681586,108.488
0.0652044,108.721
0.062391,108.933
0.0597082,109.132
0.0571423,109.324
0.0546796,109.512
0.0523233,109.703
0.0501995,110.294
0.0483373,110.523
0.0466747,110.757
0.0452159,110.994
0.043963,111.228
0.042904,111.454
0.0420167,111.665
0.0412857,111.855
0.0406972,112.018
0.0402382,112.153
0.0398984,112.259
0.0396704,112.338
0.0395504,112.391
0.039542,112.42
0.039661,112.422
0.0399436,112.385
0.0404635,112.282
0.0413559,112.064
0.0428272,111.651
0.0450498,110.959
0.0481509,109.929
0.0521857,108.581
0.0570674,107.031
0.0625521,105.142
0.0682773,103.724
0.0738757,102.565
0.0790932,101.743
0.0838573,101.273
0.0883325,101.105
0.0928975,101.153
0.0981426,101.313
0.105055,101.47
0.11539,101.487
0.132041,101.173
0.166307,100.316
0.232981,99.1485
0.29631,98.6518
0.318847,98.3445
0.335535,98.1285
0.346537,98.1769
0.353021,98.6685
0.356345,99.3863
0.356102,100.239
0.353002,101.032
0.34704,101.707
0.337554,102.258
0.325336,102.686
0.31116,102.99
0.295531,103.161
0.27929,103.232
0.263218,103.238
0.247751,103.2
0.233107,103.132
0.21938,103.051
0.206604,102.972
0.194888,102.933
0.18421,102.968
0.174465,103.094
0.165367,103.252
0.156799,103.44
0.148783,103.704
0.141383,104.1
0.134564,104.632
0.128264,105.279
0.122465,106.037
0.117161,106.888
0.112338,107.776
0.107985,108.581
0.104134,109.163
0.100904,109.429
0.0988886,109.514
0.0999765,109.72
0.10833,110.062
0.125685,110.293
0.153206,110.164
0.189964,109.37
0.225854,108.086
0.249629,107.003
0.262316,106.336
0.269453,106.012
0.274082,105.975
0.277385,106.091
0.280081,106.24
0.282445,106.385
0.284371,106.523
0.285432,106.601
0.285327,106.599
0.28403,106.527
0.282414,106.496
0.281252,106.556
0.280752,106.68
0.280693,106.73
0.280895,106.645
0.281377,106.439
0.282174,106.153
0.283303,105.805
0.28477,105.403
0.286276,104.961
0.287581,104.489
0.288668,104
0.289655,103.509
0.290585,103.024
0.291402,102.545
0.293035,102.156
0.296096,101.88
0.300419,101.692
0.310144,101.311
0.32742,100.615
0.351674,99.6113
0.373255,98.6575
0.388112,97.921
0.397137,97.4074
0.401459,97.27
0.401509,97.4929
0.39796,97.9945
0.391663,98.5928
0.383077,99.2095
0.372592,99.8349
0.361234,100.404
0.349538,100.91
0.337521,101.36
0.325781,101.71
0.314702,101.964
0.304279,102.139
0.295084,102.273
0.287579,102.388
0.281835,102.479
0.277256,102.718
0.273458,103.137
0.270456,103.679
0.266988,104.181
0.2623,104.577
0.256496,104.878
0.249871,105.073
0.242751,105.182
0.235331,105.224
0.228177,105.278
0.221577,105.384
0.215476,105.533
0.210089,105.76
0.205594,106.091
0.202024,106.525
0.19829,106.738
0.193817,106.663
0.188802,106.452
0.183768,106.276
0.178993,106.197
0.174535,106.227
0.170356,106.348
0.166455,106.541
0.162892,106.804
0.159504,107.073
0.156151,107.306
0.152795,107.493
0.149328,107.612
0.145683,107.65
0.141836,107.612
0.137741,107.496
0.133403,107.308
0.128873,107.057
0.124243,106.754
0.119643,106.411
0.115213,106.047
0.111064,105.681
0.107255,105.335
0.103781,105.025
0.10059,104.763
0.0976032,104.553
0.0947448,104.395
0.0919538,104.285
0.0891952,104.219
0.0864592,104.193
0.0837536,104.204
0.0810958,104.249
0.0785044,104.325
0.0759929,104.428
0.0735665,104.554
0.0712209,104.696
0.0689444,104.849
0.0667227,105.008
0.06473,105.229
0.0629083,105.493
0.060953,105.721
0.0589251,105.923
0.0568486,106.096
0.0547263,106.244
0.0525747,106.375
0.0504156,106.492
0.0482829,106.594
0.0462216,106.676
0.04428,106.734
0.0425012,107.032
0.0409143,107.022
0.0395287,106.972
0.038336,106.889
0.0373306,106.793
0.0364683,106.701
0.035697,106.622
0.0349939,106.553
0.0343696,106.482
0.0338446,106.387
0.0334408,106.238
0.0331567,106.056
0.0330301,105.851
0.0331372,105.608
0.0336048,105.365
0.0345597,105.174
0.0361334,105.078
0.0382567,105.133
0.040923,105.36
0.0442654,105.748
0.048218,106.249
0.0527627,106.582
0.0580135,107.071
0.0638615,107.384
0.0701805,107.382
0.0769485,106.889
0.0850305,105.672
0.0959303,103.419
0.11202,100.04
0.137291,96.2274
0.177697,92.9716
0.228166,90.4976
0.257968,89.1182
0.252809,88.5777
0.233608,87.6307
0.214339,86.7555
0.197717,86.5609
0.185099,86.9886
0.175301,87.6621
0.167442,88.3194
0.161003,88.8307
0.155646,89.1812
0.151058,89.4243
0.146891,89.6344
0.142808,89.8742
0.138544,90.1805
0.133939,90.5639
0.128935,91.0181
0.123559,91.5291
0.117898,92.083
0.112072,92.67
0.106217,93.2844
0.100468,93.9242
0.0949369,94.5885
0.0897101,95.2756
0.0848412,95.9817
0.0803524,96.7005
0.0762395,97.4236
0.0724793,98.1423
0.0690376,98.8483
0.0658766,99.5356
0.0629609,100.201
0.0602617,100.844
0.0577585,101.468
0.0554392,102.075
0.053299,102.67
0.0513377,103.257
0.0495564,103.837
0.0479537,104.407
0.0465252,104.964
0.0452624,105.502
0.0441515,106.012
0.0431744,106.488
0.0423098,107.187
0.0415354,107.58
0.0408287,107.923
0.0401689,108.216
0.0395379,108.46
0.0389206,108.66
0.038305,108.821
0.0376824,108.947
0.0370464,109.045
0.0363942,109.12
0.0357333,109.182
0.0350842,109.238
0.0344854,109.299
0.0339747,109.377
0.0335957,109.479
0.0334145,109.613
0.0335182,109.783
0.0340279,109.991
0.0351103,110.238
0.0367773,110.513
0.0390438,110.8
0.0420025,111.081
0.0466272,111.362
0.0542783,111.62
0.0667349,111.81
0.0836524,111.844
0.104207,111.468
0.128232,109.194
0.157431,104.551
0.190476,99.9937
0.214441,98.8912
0.222008,98.8179
0.218538,98.0803
0.211659,96.9629
0.205397,96.1349
0.200575,95.6408
0.196452,95.3743
0.192513,95.3152
0.188572,95.4487
0.184587,95.7457
0.180628,96.2
0.176769,96.8016
0.173102,97.536
0.169723,98.3818
0.166775,99.3168
0.164445,100.321
0.162769,101.346
0.161728,102.349
0.161276,103.301
0.161303,104.183
0.161649,104.983
0.162141,105.694
0.1627,106.342
0.163256,106.943
0.16374,107.502
0.164226,108.055
0.164833,108.635
0.165696,109.268
0.167246,109.987
0.170057,110.794
0.174676,111.629
0.18082,112.399
0.187832,113.016
0.195163,113.465
0.201795,113.737
0.20704,113.891
0.210818,114.022
0.213333,114.202
0.214902,114.46
0.215817,114.794
0.216318,115.186
0.216563,115.623
0.216635,116.094
0.217056,116.678
0.218141,117.395
0.219927,118.201
0.222796,119.102
0.226848,120.04
0.231911,120.93
0.237486,121.625
0.243247,122.093
0.249105,122.376
0.253776,122.338
0.256882,122.025
0.258725,121.545
0.259617,120.982
0.259805,120.354
0.259497,119.651
0.25924,118.942
0.259263,118.245
0.259442,117.539
0.259712,116.826
0.260012,116.116
0.260278,115.415
0.259524,114.526
0.257238,113.424
0.253558,112.215
0.249658,111.185
0.246402,110.425
0.243984,109.905
0.242315,109.543
0.241237,109.276
0.24063,109.073
0.24002,108.918
0.238951,108.784
0.237271,108.655
0.234797,108.53
0.231492,108.404
0.227495,108.281
0.222849,108.161
0.217678,108.04
0.212187,107.925
0.206556,107.828
0.200904,107.758
0.19531,107.726
0.189887,107.736
0.184706,107.791
0.179807,107.884
0.17524,108.004
0.171067,108.139
0.167355,108.274
0.164185,108.395
0.161628,108.488
0.15971,108.54
0.158439,108.556
0.15774,108.543
0.157456,108.506
0.157533,108.493
0.157926,108.536
0.158623,108.639
0.159848,108.875
0.161939,109.297
0.165232,109.913
0.169229,110.501
0.173465,110.938
0.177736,111.223
0.181703,111.324
0.185045,111.249
0.187576,111.052
0.188701,110.766
0.188093,110.419
